date,con_closing,act_closing,con_settlement,act_settlement,turnover,transaction,inventory,act_invent,con_invent
2018-12-28 00:00:00,342.0,379.1,380.1,377.9,491082.0,18562262.36,59774.0,43220.0,5026.0
2019-01-02 00:00:00,367.5,370.9,371.2,374.6,159002.0,5957637.26,59346.0,47524.0,3034.0
2019-01-03 00:00:00,379.8,385.4,379.3,384.3,624810.0,24014042.34,56222.0,44910.0,2804.0
2019-01-04 00:00:00,393.5,398.0,388.2,393.9,673184.0,26517113.72,58258.0,46186.0,1908.0
2019-01-07 00:00:00,404.8,407.5,402.9,405.9,712956.0,28943647.78,58324.0,46310.0,1198.0
2019-01-08 00:00:00,402.8,405.5,405.0,409.1,607378.0,24850994.68,58394.0,46406.0,930.0
2019-01-09 00:00:00,417.0,416.3,410.4,412.2,564372.0,23265038.34,56974.0,45180.0,474.0
2019-01-10 00:00:00,422.0,421.5,421.8,422.3,647214.0,27335883.78,55086.0,43364.0,376.0
2019-01-11 00:00:00,426.5,426.9,423.6,423.7,515544.0,21850166.84,60692.0,48972.0,196.0
2019-01-14 00:00:00,408.2,414.8,415.6,419.7,615090.0,25822001.42,61780.0,49450.0,180.0
2019-01-15 00:00:00,412.0,416.3,407.1,416.2,512772.0,21347772.06,65264.0,52220.0,172.0
2019-01-16 00:00:00,419.9,422.9,415.9,419.0,473148.0,19829079.22,65186.0,51958.0,104.0
2019-01-17 00:00:00,423.3,425.2,417.6,422.1,554926.0,23427374.6,63024.0,48976.0,84.0
2019-01-18 00:00:00,422.1,432.0,422.1,424.8,523136.0,22230171.08,63552.0,48930.0,84.0
2019-01-21 00:00:00,422.1,438.8,422.1,435.9,551684.0,24052349.08,65750.0,50558.0,84.0
2019-01-22 00:00:00,422.1,434.5,422.1,438.5,364288.0,15975673.66,65096.0,49238.0,84.0
2019-01-23 00:00:00,426.0,432.4,421.5,428.4,462394.0,19813532.36,63920.0,48142.0,84.0
2019-01-24 00:00:00,421.5,425.7,421.5,428.7,539394.0,23129040.8,64388.0,48488.0,84.0
2019-01-25 00:00:00,421.5,430.8,421.5,427.3,507842.0,21704095.9,63920.0,48172.0,84.0
2019-01-28 00:00:00,422.0,422.0,427.5,427.5,410614.0,17558207.94,67948.0,50116.0,50116.0
2019-01-29 00:00:00,418.5,418.5,418.2,418.2,388300.0,16243801.2,69356.0,48580.0,48580.0
2019-01-30 00:00:00,425.1,425.1,425.0,425.0,378632.0,16091459.4,65872.0,44332.0,44332.0
2019-01-31 00:00:00,431.6,431.6,431.0,431.0,330522.0,14247221.72,65252.0,42048.0,42048.0
2019-02-01 00:00:00,423.2,423.2,430.9,430.9,331560.0,14282607.82,59006.0,34014.0,34014.0
2019-02-11 00:00:00,429.6,429.6,427.9,427.9,85392.0,3655572.5,57296.0,32460.0,32460.0
2019-02-12 00:00:00,427.4,427.4,428.5,428.5,259440.0,11125700.94,59924.0,31828.0,31828.0
2019-02-13 00:00:00,432.5,432.5,433.7,433.7,352338.0,15296652.42,67694.0,33180.0,33180.0
2019-02-14 00:00:00,441.8,441.8,435.8,435.8,336210.0,14688770.08,75422.0,34344.0,34344.0
2019-02-15 00:00:00,444.3,444.3,440.5,440.5,356950.0,15766250.62,73444.0,29098.0,29098.0
2019-02-18 00:00:00,453.0,461.1,449.8,457.7,352932.0,16029095.7,68868.0,41730.0,15304.0
2019-02-19 00:00:00,455.0,461.2,452.2,459.3,182950.0,8400529.2,71822.0,46850.0,12830.0
2019-02-20 00:00:00,448.1,456.4,454.3,457.1,260036.0,11886646.64,66692.0,45150.0,8700.0
2019-02-21 00:00:00,450.1,457.3,447.2,456.8,301242.0,13758842.96,65182.0,47000.0,5400.0
2019-02-22 00:00:00,447.1,456.8,447.0,454.5,245876.0,11178600.56,64988.0,47084.0,5338.0
2019-02-25 00:00:00,441.2,449.0,446.9,454.6,287226.0,13057905.56,63064.0,47640.0,3838.0
2019-02-26 00:00:00,425.6,433.1,425.4,435.9,342920.0,14955954.4,63060.0,46346.0,3748.0
2019-02-27 00:00:00,431.3,438.3,429.3,436.4,263372.0,11498820.12,59668.0,42476.0,3600.0
2019-02-28 00:00:00,430.0,439.7,428.3,441.5,273472.0,12079943.42,63864.0,43972.0,3586.0
